trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
266,False,"{'a': 0.4, 'e': 0.06901790349970881}",35,19,21.86225852212925,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.4, 'e': 0.06832772446471172}",25,7,15.28451065004205,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
268,False,"{'a': 0.4, 'e': 0.0676444472200646}",20,9,20.848691246222685,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
269,False,"{'a': 0.4, 'e': 0.06696800274786396}",20,11,13.878887102596483,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.4, 'e': 0.06629832272038531}",30,16,26.138958552675565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.4, 'e': 0.06563533949318147}",20,7,15.257120483567206,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
272,False,"{'a': 0.4, 'e': 0.06497898609824965}",25,7,30.923908970943604,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.4, 'e': 0.06432919623726716}",30,21,20.661661605314745,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.4, 'e': 0.06368590427489448}",20,11,4.175953525426324,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
275,False,"{'a': 0.4, 'e': 0.06304904523214554}",20,10,17.658193807573,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.4, 'e': 0.06241855477982408}",20,5,25.956159339757264,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
277,False,"{'a': 0.4, 'e': 0.06179436923202584}",25,13,21.319259304421255,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
278,False,"{'a': 0.4, 'e': 0.06117642553970558}",30,0,38.96134279070191,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
279,False,"{'a': 0.4, 'e': 0.06056466128430853}",25,11,22.28643296473888,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.4, 'e': 0.05995901467146544}",20,9,23.320730424744962,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.4, 'e': 0.059359424524750785}",20,12,13.151911848551407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.4, 'e': 0.05876583027950327}",30,22,16.6920261523407,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.4, 'e': 0.05817817197670824}",30,13,21.650249117482964,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
284,False,"{'a': 0.4, 'e': 0.05759639025694116}",20,9,6.549942098587013,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
285,False,"{'a': 0.4, 'e': 0.057020426354371746}",30,22,14.009361393150765,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
286,False,"{'a': 0.4, 'e': 0.05645022209082803}",20,15,11.596372738413912,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
287,False,"{'a': 0.4, 'e': 0.05588571986991975}",20,10,19.39731385420309,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
